Features,Genre,Score,Popularity
Acousticness,Alternative,0.154380193,Popular
Acousticness,Anime,0.070928375,Popular
Acousticness,Blues,0.275127749,Popular
Acousticness,Children’s Music,0.168892528,Popular
Acousticness,Classical,0.89929354,Popular
Acousticness,Comedy,0.107,Popular
Acousticness,Country,0.23684051,Popular
Acousticness,Dance,0.16333842,Popular
Acousticness,Electronic,0.106899956,Popular
Acousticness,Folk,0.471043003,Popular
Acousticness,Hip-Hop,0.176320723,Popular
Acousticness,Indie,0.360881703,Popular
Acousticness,Jazz,0.603452193,Popular
Acousticness,Movie,0.665,Popular
Acousticness,Opera,0.977,Popular
Acousticness,Pop,0.227372113,Popular
Acousticness,R&B,0.275696024,Popular
Acousticness,Rap,0.165561031,Popular
Acousticness,Reggae,0.196662977,Popular
Acousticness,Reggaeton,0.223204689,Popular
Acousticness,Rock,0.202273903,Popular
Acousticness,Ska,0.136544168,Popular
Acousticness,Soul,0.367557952,Popular
Acousticness,Soundtrack,0.795283333,Popular
Acousticness,World,0.358804219,Popular
Danceability,Alternative,0.561644283,Popular
Danceability,Anime,0.531083333,Popular
Danceability,Blues,0.537579487,Popular
Danceability,Children’s Music,0.560206272,Popular
Danceability,Classical,0.318238095,Popular
Danceability,Comedy,0.501,Popular
Danceability,Country,0.579723039,Popular
Danceability,Dance,0.648664275,Popular
Danceability,Electronic,0.6436875,Popular
Danceability,Folk,0.537915096,Popular
Danceability,Hip-Hop,0.727967724,Popular
Danceability,Indie,0.58071953,Popular
Danceability,Jazz,0.568127193,Popular
Danceability,Movie,0.434086207,Popular
Danceability,Opera,0.1515,Popular
Danceability,Pop,0.64351527,Popular
Danceability,R&B,0.654080454,Popular
Danceability,Rap,0.700236656,Popular
Danceability,Reggae,0.712733645,Popular
Danceability,Reggaeton,0.751658284,Popular
Danceability,Rock,0.542989614,Popular
Danceability,Ska,0.634611765,Popular
Danceability,Soul,0.636676976,Popular
Danceability,Soundtrack,0.287342424,Popular
Danceability,World,0.398580795,Popular
Energy,Alternative,0.715384211,Popular
Energy,Anime,0.886916667,Popular
Energy,Blues,0.618466667,Popular
Energy,Children’s Music,0.700958096,Popular
Energy,Classical,0.130995079,Popular
Energy,Comedy,0.796,Popular
Energy,Country,0.677480025,Popular
Energy,Dance,0.69437994,Popular
Energy,Electronic,0.746964286,Popular
Energy,Folk,0.499487939,Popular
Energy,Hip-Hop,0.640910722,Popular
Energy,Indie,0.556304103,Popular
Energy,Jazz,0.413234912,Popular
Energy,Movie,0.337925862,Popular
Energy,Opera,0.16375,Popular
Energy,Pop,0.639920832,Popular
Energy,R&B,0.575551404,Popular
Energy,Rap,0.649092457,Popular
Energy,Reggae,0.627640187,Popular
Energy,Reggaeton,0.729217456,Popular
Energy,Rock,0.686139745,Popular
Energy,Ska,0.736129412,Popular
Energy,Soul,0.537425086,Popular
Energy,Soundtrack,0.168995455,Popular
Energy,World,0.472035497,Popular
Instrumentalness,Alternative,0.042848104,Popular
Instrumentalness,Anime,0.01148639,Popular
Instrumentalness,Blues,0.055866972,Popular
Instrumentalness,Children’s Music,0.048077285,Popular
Instrumentalness,Classical,0.756222907,Popular
Instrumentalness,Comedy,0.000974,Popular
Instrumentalness,Country,0.003613388,Popular
Instrumentalness,Dance,0.022699266,Popular
Instrumentalness,Electronic,0.217484257,Popular
Instrumentalness,Folk,0.053480465,Popular
Instrumentalness,Hip-Hop,0.007261382,Popular
Instrumentalness,Indie,0.058634227,Popular
Instrumentalness,Jazz,0.191109892,Popular
Instrumentalness,Movie,0.092211878,Popular
Instrumentalness,Opera,0.44673,Popular
Instrumentalness,Pop,0.015118412,Popular
Instrumentalness,R&B,0.01309859,Popular
Instrumentalness,Rap,0.009293901,Popular
Instrumentalness,Reggae,0.006727462,Popular
Instrumentalness,Reggaeton,0.002587825,Popular
Instrumentalness,Rock,0.041764363,Popular
Instrumentalness,Ska,0.026156549,Popular
Instrumentalness,Soul,0.035592031,Popular
Instrumentalness,Soundtrack,0.778017298,Popular
Instrumentalness,World,0.175828378,Popular
Liveness,Alternative,0.189469056,Popular
Liveness,Anime,0.173875,Popular
Liveness,Blues,0.17590359,Popular
Liveness,Children’s Music,0.18967589,Popular
Liveness,Classical,0.118720635,Popular
Liveness,Comedy,0.539,Popular
Liveness,Country,0.164779657,Popular
Liveness,Dance,0.178070254,Popular
Liveness,Electronic,0.19943125,Popular
Liveness,Folk,0.160368051,Popular
Liveness,Hip-Hop,0.192578146,Popular
Liveness,Indie,0.160798077,Popular
Liveness,Jazz,0.161921491,Popular
